,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId,coordinates
1,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:38:00+00,Fairmount,5,19.0,0.0,30.0,2,"(42.2514877, -71.1147738)"
2,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:42:00+00,Morton Street,6,8.0,0.0,38.0,3,"(-1, -1)"
3,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:49:00+00,Uphams Corner,7,7.0,1.0,44.0,4,"(42.3167648, -71.0606061)"
6,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:18:00+00,Fairmount,5,22.0,0.0,55.0,7,"(42.2514877, -71.1147738)"
7,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:22:00+00,Morton Street,6,17.0,0.0,72.0,8,"(-1, -1)"
8,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:29:00+00,Uphams Corner,7,6.0,0.0,78.0,9,"(42.3167648, -71.0606061)"
11,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 12:58:00+00,Fairmount,5,41.0,0.0,95.0,12,"(42.2514877, -71.1147738)"
12,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:02:00+00,Morton Street,6,19.0,0.0,114.0,13,"(-1, -1)"
13,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:09:00+00,Uphams Corner,7,10.0,1.0,123.0,14,"(42.3167648, -71.0606061)"
16,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:38:00+00,Fairmount,5,25.0,1.0,39.0,17,"(42.2514877, -71.1147738)"
17,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:42:00+00,Morton Street,6,6.0,0.0,45.0,18,"(-1, -1)"
18,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:49:00+00,Uphams Corner,7,8.0,0.0,53.0,19,"(42.3167648, -71.0606061)"
21,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:03:00+00,Fairmount,5,3.0,0.0,3.0,22,"(42.2514877, -71.1147738)"
22,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:07:00+00,Morton Street,6,1.0,0.0,4.0,23,"(-1, -1)"
23,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:14:00+00,Uphams Corner,7,0.0,0.0,4.0,24,"(42.3167648, -71.0606061)"
26,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:03:00+00,Fairmount,5,0.0,0.0,0.0,27,"(42.2514877, -71.1147738)"
27,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:07:00+00,Morton Street,6,0.0,0.0,0.0,28,"(-1, -1)"
28,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:14:00+00,Uphams Corner,7,0.0,0.0,0.0,29,"(42.3167648, -71.0606061)"
31,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:13:00+00,Fairmount,5,1.0,0.0,5.0,32,"(42.2514877, -71.1147738)"
32,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:17:00+00,Morton Street,6,3.0,0.0,8.0,33,"(-1, -1)"
33,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:24:00+00,Uphams Corner,7,3.0,0.0,11.0,34,"(42.3167648, -71.0606061)"
36,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:09:00+00,Fairmount,5,1.0,0.0,6.0,37,"(42.2514877, -71.1147738)"
37,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:13:00+00,Morton Street,6,1.0,0.0,7.0,38,"(-1, -1)"
38,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:20:00+00,Uphams Corner,7,6.0,2.0,11.0,39,"(42.3167648, -71.0606061)"
48,Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:13:00+00,Fairmount,5,0.0,0.0,0.0,49,"(42.2514877, -71.1147738)"
49,Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:17:00+00,Morton Street,6,0.0,0.0,0.0,50,"(-1, -1)"
50,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:35:00+00,Shirley,3,15.0,4.0,79.0,51,"(42.543702, -71.6495134)"
51,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:41:00+00,Ayer,4,28.0,4.0,103.0,52,"(42.5595807, -71.5882561)"
52,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:50:00+00,Littleton / Rte 495,5,40.0,0.0,143.0,53,"(-1, -1)"
53,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:58:00+00,South Acton,6,57.0,4.0,196.0,54,"(42.4584265, -71.453674)"
54,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:03:00+00,West Concord,7,48.0,2.0,242.0,55,"(42.4566859, -71.3942316)"
55,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:09:00+00,Concord,8,40.0,0.0,282.0,56,"(42.4605189, -71.3488963)"
56,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:15:00+00,Lincoln,9,23.0,0.0,305.0,57,"(42.4259283, -71.3039469)"
57,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:18:00+00,Silver Hill,10,5.0,1.0,309.0,58,"(42.3959287, -71.3022801)"
58,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:20:00+00,Hastings,11,8.0,0.0,317.0,59,"(42.3875957, -71.289224)"
59,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:22:00+00,Kendal Green,12,15.0,1.0,331.0,60,"(42.379818, -71.2817237)"
60,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:26:00+00,Brandeis/ Roberts,13,22.0,16.0,337.0,61,"(-1, -1)"
61,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:30:00+00,Waltham,14,58.0,4.0,391.0,62,"(42.3756401, -71.2358004)"
62,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:35:00+00,Waverley,15,18.0,7.0,402.0,63,"(42.3875964, -71.1828322)"
63,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:37:00+00,Belmont,16,18.0,4.0,416.0,64,"(42.3959296, -71.1786655)"
64,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:43:00+00,Porter Square,17,71.0,183.0,304.0,65,"(42.3885028, -71.1192991)"
67,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:34:00+00,North Leominster,2,8.0,0.0,27.0,68,"(42.5417572, -71.7370158)"
68,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:41:00+00,Shirley,3,5.0,1.0,31.0,69,"(42.543702, -71.6495134)"
69,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:46:00+00,Ayer,4,10.0,4.0,37.0,70,"(42.5595807, -71.5882561)"
70,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:54:00+00,Littleton / Rte 495,5,7.0,0.0,44.0,71,"(-1, -1)"
71,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:02:00+00,South Acton,6,11.0,1.0,54.0,72,"(42.4584265, -71.453674)"
72,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:07:00+00,West Concord,7,2.0,0.0,56.0,73,"(42.4566859, -71.3942316)"
73,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:13:00+00,Concord,8,6.0,0.0,62.0,74,"(42.4605189, -71.3488963)"
74,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:19:00+00,Lincoln,9,3.0,0.0,65.0,75,"(42.4259283, -71.3039469)"
75,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:23:00+00,Hastings,11,2.0,0.0,67.0,76,"(42.3875957, -71.289224)"
76,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:25:00+00,Kendal Green,12,1.0,0.0,68.0,77,"(42.379818, -71.2817237)"
77,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:28:00+00,Brandeis/ Roberts,13,4.0,1.0,71.0,78,"(-1, -1)"
78,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:32:00+00,Waltham,14,11.0,5.0,77.0,79,"(42.3756401, -71.2358004)"
79,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:37:00+00,Waverley,15,1.0,0.0,78.0,80,"(42.3875964, -71.1828322)"
80,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:39:00+00,Belmont,16,2.0,0.0,80.0,81,"(42.3959296, -71.1786655)"
81,Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:44:00+00,Porter Square,17,4.0,31.0,53.0,82,"(42.3885028, -71.1192991)"
84,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:31:00+00,North Leominster,2,3.0,0.0,8.0,85,"(42.5417572, -71.7370158)"
85,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:38:00+00,Shirley,3,3.0,1.0,10.0,86,"(42.543702, -71.6495134)"
86,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:43:00+00,Ayer,4,3.0,2.0,11.0,87,"(42.5595807, -71.5882561)"
87,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:51:00+00,Littleton / Rte 495,5,2.0,0.0,13.0,88,"(-1, -1)"
88,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:59:00+00,South Acton,6,10.0,0.0,23.0,89,"(42.4584265, -71.453674)"
89,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:04:00+00,West Concord,7,8.0,1.0,30.0,90,"(42.4566859, -71.3942316)"
90,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:10:00+00,Concord,8,4.0,1.0,33.0,91,"(42.4605189, -71.3488963)"
91,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:16:00+00,Lincoln,9,2.0,1.0,34.0,92,"(42.4259283, -71.3039469)"
92,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:24:00+00,Brandeis/ Roberts,13,21.0,1.0,54.0,93,"(-1, -1)"
93,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:29:00+00,Waltham,14,15.0,6.0,63.0,94,"(42.3756401, -71.2358004)"
94,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:34:00+00,Belmont,16,1.0,0.0,64.0,95,"(42.3959296, -71.1786655)"
95,Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:39:00+00,Porter Square,17,2.0,28.0,38.0,96,"(42.3885028, -71.1192991)"
98,Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2018/01/01 18:14:00+00,North Leominster,2,8.0,0.0,19.0,99,"(42.5417572, -71.7370158)"
99,Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2018/01/01 18:21:00+00,Shirley,3,2.0,0.0,21.0,100,"(42.543702, -71.6495134)"
102,Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:16:00+00,Uphams Corner,2,1.0,0.0,9.0,103,"(42.3167648, -71.0606061)"
103,Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:23:00+00,Morton Street,3,0.0,1.0,8.0,104,"(-1, -1)"
104,Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:27:00+00,Fairmount,4,0.0,3.0,5.0,105,"(42.2514877, -71.1147738)"
107,Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:41:00+00,Uphams Corner,2,0.0,4.0,24.0,108,"(42.3167648, -71.0606061)"
108,Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:48:00+00,Morton Street,3,0.0,8.0,16.0,109,"(-1, -1)"
109,Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:52:00+00,Fairmount,4,0.0,5.0,11.0,110,"(42.2514877, -71.1147738)"
112,Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:41:00+00,Uphams Corner,2,1.0,4.0,79.0,113,"(42.3167648, -71.0606061)"
113,Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:48:00+00,Morton Street,3,0.0,25.0,54.0,114,"(-1, -1)"
114,Spring 2012,CR-Fairmount,Fairmount Line,761,0,day_type_01,weekday,2018/01/01 21:52:00+00,Fairmount,4,2.0,39.0,17.0,115,"(42.2514877, -71.1147738)"
117,Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:21:00+00,Uphams Corner,2,0.0,9.0,110.0,118,"(42.3167648, -71.0606061)"
118,Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:28:00+00,Morton Street,3,0.0,20.0,90.0,119,"(-1, -1)"
119,Spring 2012,CR-Fairmount,Fairmount Line,763,0,day_type_01,weekday,2018/01/01 22:32:00+00,Fairmount,4,0.0,41.0,49.0,120,"(42.2514877, -71.1147738)"
122,Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 22:56:00+00,Uphams Corner,2,0.0,2.0,66.0,123,"(42.3167648, -71.0606061)"
123,Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 23:03:00+00,Morton Street,3,0.0,16.0,50.0,124,"(-1, -1)"
124,Spring 2012,CR-Fairmount,Fairmount Line,765,0,day_type_01,weekday,2018/01/01 23:07:00+00,Fairmount,4,0.0,28.0,22.0,125,"(42.2514877, -71.1147738)"
127,Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:41:00+00,Uphams Corner,2,0.0,6.0,48.0,128,"(42.3167648, -71.0606061)"
128,Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:48:00+00,Morton Street,3,0.0,12.0,36.0,129,"(-1, -1)"
129,Spring 2012,CR-Fairmount,Fairmount Line,767,0,day_type_01,weekday,2018/01/01 23:52:00+00,Fairmount,4,0.0,17.0,19.0,130,"(42.2514877, -71.1147738)"
132,Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:41:00+00,Uphams Corner,2,1.0,6.0,12.0,133,"(42.3167648, -71.0606061)"
133,Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:48:00+00,Morton Street,3,0.0,2.0,10.0,134,"(-1, -1)"
134,Spring 2012,CR-Fairmount,Fairmount Line,769,0,day_type_01,weekday,2018/01/02 00:52:00+00,Fairmount,4,0.0,4.0,6.0,135,"(42.2514877, -71.1147738)"
137,Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 02:51:00+00,Uphams Corner,2,0.0,4.0,9.0,138,"(42.3167648, -71.0606061)"
138,Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 02:58:00+00,Morton Street,3,0.0,3.0,6.0,139,"(-1, -1)"
139,Spring 2012,CR-Fairmount,Fairmount Line,771,0,day_type_01,weekday,2018/01/02 03:02:00+00,Fairmount,4,0.0,3.0,3.0,140,"(42.2514877, -71.1147738)"
144,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:22:00+00,North Leominster,2,23.0,0.0,46.0,145,"(42.5417572, -71.7370158)"
145,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:29:00+00,Shirley,3,29.0,0.0,75.0,146,"(42.543702, -71.6495134)"
146,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:34:00+00,Ayer,4,25.0,2.0,98.0,147,"(42.5595807, -71.5882561)"
147,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:43:00+00,Littleton / Rte 495,5,17.0,0.0,115.0,148,"(-1, -1)"
148,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:51:00+00,South Acton,6,95.0,0.0,210.0,149,"(42.4584265, -71.453674)"
149,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 10:56:00+00,West Concord,7,15.0,1.0,224.0,150,"(42.4566859, -71.3942316)"
150,Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:24:00+00,Uphams Corner,7,0.0,0.0,0.0,151,"(42.3167648, -71.0606061)"
153,Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:13:00+00,Fairmount,5,0.0,0.0,3.0,154,"(42.2514877, -71.1147738)"
154,Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:17:00+00,Morton Street,6,3.0,1.0,5.0,155,"(-1, -1)"
155,Spring 2012,CR-Fairmount,Fairmount Line,770,1,day_type_01,weekday,2018/01/02 01:24:00+00,Uphams Corner,7,0.0,4.0,1.0,156,"(42.3167648, -71.0606061)"
158,Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:23:00+00,Fairmount,5,1.0,0.0,1.0,159,"(42.2514877, -71.1147738)"
159,Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:27:00+00,Morton Street,6,0.0,0.0,1.0,160,"(-1, -1)"
160,Spring 2012,CR-Fairmount,Fairmount Line,772,1,day_type_01,weekday,2018/01/02 03:34:00+00,Uphams Corner,7,0.0,0.0,1.0,161,"(42.3167648, -71.0606061)"
163,Spring 2012,CR-Fairmount,Fairmount Line,790,1,day_type_01,weekday,2018/01/01 10:51:00+00,Fairmount,5,7.0,0.0,16.0,164,"(42.2514877, -71.1147738)"
164,Spring 2012,CR-Fairmount,Fairmount Line,790,1,day_type_01,weekday,2018/01/01 10:55:00+00,Morton Street,6,4.0,0.0,20.0,165,"(-1, -1)"
165,Spring 2012,CR-Fairmount,Fairmount Line,790,1,day_type_01,weekday,2018/01/01 11:02:00+00,Uphams Corner,7,7.0,1.0,26.0,166,"(42.3167648, -71.0606061)"
173,Spring 2012,CR-Fairmount,Fairmount Line,743,0,day_type_01,weekday,2018/01/01 11:01:00+00,Uphams Corner,2,0.0,0.0,1.0,174,"(42.3167648, -71.0606061)"
174,Spring 2012,CR-Fairmount,Fairmount Line,743,0,day_type_01,weekday,2018/01/01 11:07:00+00,Morton Street,3,0.0,0.0,1.0,175,"(-1, -1)"
175,Spring 2012,CR-Fairmount,Fairmount Line,743,0,day_type_01,weekday,2018/01/01 11:11:00+00,Fairmount,4,0.0,0.0,1.0,176,"(42.2514877, -71.1147738)"
178,Spring 2012,CR-Fairmount,Fairmount Line,745,0,day_type_01,weekday,2018/01/01 11:56:00+00,Morton Street,3,1.0,0.0,1.0,179,"(-1, -1)"
179,Spring 2012,CR-Fairmount,Fairmount Line,745,0,day_type_01,weekday,2018/01/01 12:00:00+00,Fairmount,4,0.0,0.0,1.0,180,"(42.2514877, -71.1147738)"
182,Spring 2012,CR-Fairmount,Fairmount Line,747,0,day_type_01,weekday,2018/01/01 12:31:00+00,Uphams Corner,2,0.0,0.0,4.0,183,"(42.3167648, -71.0606061)"
183,Spring 2012,CR-Fairmount,Fairmount Line,747,0,day_type_01,weekday,2018/01/01 12:37:00+00,Morton Street,3,3.0,0.0,7.0,184,"(-1, -1)"
184,Spring 2012,CR-Fairmount,Fairmount Line,747,0,day_type_01,weekday,2018/01/01 12:41:00+00,Fairmount,4,0.0,4.0,3.0,185,"(42.2514877, -71.1147738)"
187,Spring 2012,CR-Fairmount,Fairmount Line,749,0,day_type_01,weekday,2018/01/01 13:10:00+00,Uphams Corner,2,1.0,0.0,1.0,188,"(42.3167648, -71.0606061)"
188,Spring 2012,CR-Fairmount,Fairmount Line,749,0,day_type_01,weekday,2018/01/01 13:17:00+00,Morton Street,3,0.0,0.0,1.0,189,"(-1, -1)"
189,Spring 2012,CR-Fairmount,Fairmount Line,749,0,day_type_01,weekday,2018/01/01 13:21:00+00,Fairmount,4,0.0,0.0,1.0,190,"(42.2514877, -71.1147738)"
192,Spring 2012,CR-Fairmount,Fairmount Line,753,0,day_type_01,weekday,2018/01/01 15:16:00+00,Uphams Corner,2,0.0,0.0,2.0,193,"(42.3167648, -71.0606061)"
193,Spring 2012,CR-Fairmount,Fairmount Line,753,0,day_type_01,weekday,2018/01/01 15:23:00+00,Morton Street,3,0.0,0.0,2.0,194,"(-1, -1)"
194,Spring 2012,CR-Fairmount,Fairmount Line,753,0,day_type_01,weekday,2018/01/01 15:27:00+00,Fairmount,4,0.0,1.0,1.0,195,"(42.2514877, -71.1147738)"
197,Spring 2012,CR-Fairmount,Fairmount Line,755,0,day_type_01,weekday,2018/01/01 17:16:00+00,Uphams Corner,2,0.0,0.0,5.0,198,"(42.3167648, -71.0606061)"
198,Spring 2012,CR-Fairmount,Fairmount Line,755,0,day_type_01,weekday,2018/01/01 17:23:00+00,Morton Street,3,0.0,1.0,4.0,199,"(-1, -1)"
199,Spring 2012,CR-Fairmount,Fairmount Line,755,0,day_type_01,weekday,2018/01/01 17:27:00+00,Fairmount,4,0.0,2.0,2.0,200,"(42.2514877, -71.1147738)"
200,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:02:00+00,Concord,8,32.0,1.0,255.0,201,"(42.4605189, -71.3488963)"
201,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:08:00+00,Lincoln,9,19.0,0.0,274.0,202,"(42.4259283, -71.3039469)"
202,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:12:00+00,Hastings,11,4.0,0.0,278.0,203,"(42.3875957, -71.289224)"
203,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:14:00+00,Kendal Green,12,23.0,1.0,300.0,204,"(42.379818, -71.2817237)"
204,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:17:00+00,Brandeis/ Roberts,13,6.0,0.0,306.0,205,"(-1, -1)"
205,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:22:00+00,Waltham,14,21.0,1.0,326.0,206,"(42.3756401, -71.2358004)"
206,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:27:00+00,Waverley,15,9.0,0.0,335.0,207,"(42.3875964, -71.1828322)"
207,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:30:00+00,Belmont,16,5.0,0.0,340.0,208,"(42.3959296, -71.1786655)"
208,Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,2018/01/01 11:36:00+00,Porter Square,17,3.0,120.0,223.0,209,"(42.3885028, -71.1192991)"
211,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:07:00+00,North Leominster,2,20.0,0.0,47.0,212,"(42.5417572, -71.7370158)"
212,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:15:00+00,Shirley,3,21.0,0.0,68.0,213,"(42.543702, -71.6495134)"
213,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:21:00+00,Ayer,4,35.0,3.0,100.0,214,"(42.5595807, -71.5882561)"
214,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:32:00+00,Littleton / Rte 495,5,24.0,0.0,124.0,215,"(-1, -1)"
215,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:38:00+00,South Acton,6,110.0,0.0,234.0,216,"(42.4584265, -71.453674)"
216,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:43:00+00,West Concord,7,40.0,2.0,272.0,217,"(42.4566859, -71.3942316)"
217,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:49:00+00,Concord,8,50.0,1.0,321.0,218,"(42.4605189, -71.3488963)"
218,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:55:00+00,Lincoln,9,41.0,0.0,362.0,219,"(42.4259283, -71.3039469)"
219,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 11:58:00+00,Silver Hill,10,2.0,0.0,364.0,220,"(42.3959287, -71.3022801)"
220,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 12:00:00+00,Hastings,11,12.0,0.0,376.0,221,"(42.3875957, -71.289224)"
221,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 12:02:00+00,Kendal Green,12,31.0,0.0,407.0,222,"(42.379818, -71.2817237)"
222,Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,2018/01/01 12:06:00+00,Brandeis/ Roberts,13,21.0,4.0,424.0,223,"(-1, -1)"
