,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId,coordinates
3118,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,176,1,day_type_01,weekday,2018/01/01 20:24:00+00,Swampscott,15,6.0,2.0,73.0,3119,"(42.4699241, -70.9171507)"
3119,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,176,1,day_type_01,weekday,2018/01/01 20:27:00+00,Lynn,16,6.0,9.0,70.0,3120,"(42.466763, -70.9494939)"
3120,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,176,1,day_type_01,weekday,2018/01/01 20:30:00+00,River Works / GE Employees Only,17,2.0,0.0,72.0,3121,"(-1, -1)"
3121,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,176,1,day_type_01,weekday,2018/01/01 20:37:00+00,Chelsea,18,5.0,6.0,71.0,3122,"(42.3917638, -71.0328284)"
3125,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 21:42:00+00,Rowley,9,2.0,0.0,23.0,3126,"(42.7136977, -70.8818364)"
3126,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 21:47:00+00,Ipswich,10,42.0,5.0,60.0,3127,"(42.679273, -70.8411583)"
3127,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 21:54:00+00,Hamilton/ Wenham,11,7.0,1.0,66.0,3128,"(-1, -1)"
3128,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 21:58:00+00,North Beverly,12,9.0,0.0,75.0,3129,"(42.5806503, -70.8869941)"
3129,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:03:00+00,Beverly,13,20.0,5.0,90.0,3130,"(42.5584284, -70.8800491)"
3130,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:07:00+00,Salem,14,30.0,7.0,113.0,3131,"(42.5195292, -70.8967226)"
3131,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:14:00+00,Swampscott,15,3.0,0.0,116.0,3132,"(42.4699241, -70.9171507)"
3132,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:17:00+00,Lynn,16,2.0,15.0,103.0,3133,"(42.466763, -70.9494939)"
3133,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:21:00+00,River Works / GE Employees Only,17,12.0,0.0,115.0,3134,"(-1, -1)"
3134,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,178,1,day_type_01,weekday,2018/01/01 22:27:00+00,Chelsea,18,1.0,4.0,112.0,3135,"(42.3917638, -71.0328284)"
3137,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 22:52:00+00,Rowley,9,0.0,0.0,11.0,3138,"(42.7136977, -70.8818364)"
3138,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 22:57:00+00,Ipswich,10,19.0,0.0,30.0,3139,"(42.679273, -70.8411583)"
3139,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:12:00+00,Hamilton/ Wenham,11,2.0,1.0,31.0,3140,"(-1, -1)"
3140,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:16:00+00,North Beverly,12,4.0,0.0,35.0,3141,"(42.5806503, -70.8869941)"
3141,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:21:00+00,Beverly,13,10.0,8.0,37.0,3142,"(42.5584284, -70.8800491)"
3142,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:30:00+00,Salem,14,11.0,20.0,28.0,3143,"(42.5195292, -70.8967226)"
3143,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:42:00+00,River Works / GE Employees Only,17,0.0,0.0,28.0,3144,"(-1, -1)"
3144,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,182,1,day_type_01,weekday,2018/01/01 23:49:00+00,Chelsea,18,0.0,3.0,25.0,3145,"(42.3917638, -71.0328284)"
3146,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:07:00+00,Rowley,9,0.0,0.0,12.0,3147,"(42.7136977, -70.8818364)"
3147,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:12:00+00,Ipswich,10,7.0,0.0,19.0,3148,"(42.679273, -70.8411583)"
3148,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:19:00+00,Hamilton/ Wenham,11,1.0,0.0,20.0,3149,"(-1, -1)"
3149,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:23:00+00,North Beverly,12,1.0,0.0,21.0,3150,"(42.5806503, -70.8869941)"
3150,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:23:00+00,Ruggles,3,3.0,0.0,56.0,3151,"(-1, -1)"
3151,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:28:00+00,Forest Hills,4,0.0,0.0,56.0,3152,"(42.2967648, -71.1119963)"
3152,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:31:00+00,Roslindale Village,5,0.0,11.0,45.0,3153,"(-1, -1)"
3153,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:34:00+00,Bellevue,6,0.0,4.0,41.0,3154,"(42.2875981, -71.1453304)"
3154,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:36:00+00,Highland,7,0.0,3.0,38.0,3155,"(42.2853759, -71.1567196)"
3155,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:38:00+00,West Roxbury,8,0.0,7.0,31.0,3156,"(42.2792649, -71.1494972)"
3156,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:43:00+00,Hersey,9,0.0,8.0,23.0,3157,"(-1, -1)"
3157,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:46:00+00,Needham Junction,10,0.0,6.0,17.0,3158,"(42.27232, -71.2453332)"
3158,Spring 2012,CR-Needham,Needham Line,633,0,day_type_01,weekday,2018/01/02 02:50:00+00,Needham Center,11,0.0,8.0,9.0,3159,"(-1, -1)"
3161,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:35:00+00,Back Bay,2,15.0,0.0,39.0,3162,"(42.3507067, -71.0797297)"
3162,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:38:00+00,Ruggles,3,1.0,1.0,39.0,3163,"(-1, -1)"
3163,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:43:00+00,Forest Hills,4,0.0,1.0,38.0,3164,"(42.2967648, -71.1119963)"
3164,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:46:00+00,Roslindale Village,5,0.0,5.0,33.0,3165,"(-1, -1)"
3165,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:49:00+00,Bellevue,6,0.0,5.0,28.0,3166,"(42.2875981, -71.1453304)"
3166,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:51:00+00,Highland,7,0.0,4.0,24.0,3167,"(42.2853759, -71.1567196)"
3167,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:53:00+00,West Roxbury,8,0.0,6.0,18.0,3168,"(42.2792649, -71.1494972)"
3168,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 03:58:00+00,Hersey,9,0.0,2.0,16.0,3169,"(-1, -1)"
3169,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 04:01:00+00,Needham Junction,10,0.0,6.0,10.0,3170,"(42.27232, -71.2453332)"
3170,Spring 2012,CR-Needham,Needham Line,635,0,day_type_01,weekday,2018/01/02 04:05:00+00,Needham Center,11,0.0,7.0,3.0,3171,"(-1, -1)"
3173,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:13:00+00,Gloucester,2,16.0,1.0,32.0,3174,"(42.6159286, -70.6619888)"
3174,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:18:00+00,West Gloucester,3,2.0,1.0,33.0,3175,"(42.6134284, -70.7106011)"
3175,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:24:00+00,Manchester,4,21.0,1.0,53.0,3176,"(42.577873, -70.7689354)"
3176,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:29:00+00,Beverly Farms,5,3.0,0.0,56.0,3177,"(42.5639842, -70.8106029)"
3177,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:35:00+00,Montserrat,7,12.0,0.0,68.0,3178,"(42.5625951, -70.8661599)"
3178,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:39:00+00,Beverly,13,65.0,0.0,133.0,3179,"(42.5584284, -70.8800491)"
3179,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:43:00+00,Salem,14,114.0,2.0,245.0,3180,"(42.5195292, -70.8967226)"
3180,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:50:00+00,Swampscott,15,50.0,1.0,294.0,3181,"(42.4699241, -70.9171507)"
3181,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:53:00+00,Lynn,16,27.0,8.0,313.0,3182,"(42.466763, -70.9494939)"
3182,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 10:56:00+00,River Works / GE Employees Only,17,0.0,2.0,311.0,3183,"(-1, -1)"
3183,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,102,1,day_type_01,weekday,2018/01/01 11:03:00+00,Chelsea,18,2.0,6.0,307.0,3184,"(42.3917638, -71.0328284)"
3186,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:18:00+00,Gloucester,2,39.0,0.0,63.0,3187,"(42.6159286, -70.6619888)"
3187,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:23:00+00,West Gloucester,3,5.0,0.0,68.0,3188,"(42.6134284, -70.7106011)"
3188,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:30:00+00,Manchester,4,33.0,1.0,100.0,3189,"(42.577873, -70.7689354)"
3189,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:35:00+00,Beverly Farms,5,16.0,0.0,116.0,3190,"(42.5639842, -70.8106029)"
3190,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:37:00+00,Prides Crossing,6,1.0,1.0,116.0,3191,"(42.5598175, -70.8244921)"
3191,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:42:00+00,Montserrat,7,43.0,0.0,159.0,3192,"(42.5625951, -70.8661599)"
3192,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:46:00+00,Beverly,13,91.0,0.0,250.0,3193,"(42.5584284, -70.8800491)"
3193,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:50:00+00,Salem,14,125.0,4.0,371.0,3194,"(42.5195292, -70.8967226)"
3194,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 11:57:00+00,Swampscott,15,80.0,0.0,451.0,3195,"(42.4699241, -70.9171507)"
3195,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 12:00:00+00,Lynn,16,33.0,10.0,474.0,3196,"(42.466763, -70.9494939)"
3196,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 12:03:00+00,River Works / GE Employees Only,17,0.0,10.0,464.0,3197,"(-1, -1)"
3197,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,106,1,day_type_01,weekday,2018/01/01 12:11:00+00,Chelsea,18,7.0,4.0,467.0,3198,"(42.3917638, -71.0328284)"
3200,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:28:00+00,Beverly,13,15.0,1.0,35.0,3201,"(42.5584284, -70.8800491)"
3201,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:32:00+00,Salem,14,11.0,13.0,33.0,3202,"(42.5195292, -70.8967226)"
3202,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:39:00+00,Swampscott,15,0.0,1.0,32.0,3203,"(42.4699241, -70.9171507)"
3203,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:42:00+00,Lynn,16,7.0,8.0,31.0,3204,"(42.466763, -70.9494939)"
3204,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:44:00+00,River Works / GE Employees Only,17,0.0,0.0,31.0,3205,"(-1, -1)"
3205,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,186,1,day_type_01,weekday,2018/01/02 02:51:00+00,Chelsea,18,0.0,2.0,29.0,3206,"(42.3917638, -71.0328284)"
3208,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 12:42:00+00,North Beverly,12,52.0,0.0,81.0,3209,"(42.5806503, -70.8869941)"
3209,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 12:46:00+00,Beverly,13,103.0,0.0,184.0,3210,"(42.5584284, -70.8800491)"
3210,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 12:50:00+00,Salem,14,187.0,4.0,367.0,3211,"(42.5195292, -70.8967226)"
3211,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 12:57:00+00,Swampscott,15,111.0,0.0,478.0,3212,"(42.4699241, -70.9171507)"
3212,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 13:00:00+00,Lynn,16,55.0,15.0,518.0,3213,"(42.466763, -70.9494939)"
3213,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 13:03:00+00,River Works / GE Employees Only,17,0.0,0.0,518.0,3214,"(-1, -1)"
3214,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,198,1,day_type_01,weekday,2018/01/01 13:11:00+00,Chelsea,18,9.0,6.0,521.0,3215,"(42.3917638, -71.0328284)"
3217,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,62,1,day_type_01,weekday,2018/01/01 13:19:00+00,Salem,14,136.0,5.0,221.0,3218,"(42.5195292, -70.8967226)"
3218,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,62,1,day_type_01,weekday,2018/01/01 13:26:00+00,Swampscott,15,65.0,0.0,286.0,3219,"(42.4699241, -70.9171507)"
