,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
8375,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2018/01/02 00:34:00+00,Gloucester,18,0.0,27.0,10.0,8376
8378,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:27:00+00,Chelsea,2,7.0,10.0,232.0,8379
8379,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:34:00+00,River Works / GE Employees Only,3,0.0,0.0,232.0,8380
8380,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:36:00+00,Lynn,4,3.0,13.0,222.0,8381
8381,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:41:00+00,Swampscott,5,1.0,29.0,194.0,8382
8382,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:48:00+00,Salem,6,2.0,73.0,123.0,8383
8383,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:52:00+00,Beverly,7,3.0,52.0,74.0,8384
8384,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 00:56:00+00,Montserrat,13,0.0,16.0,58.0,8385
8385,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 01:00:00+00,Prides Crossing,14,0.0,7.0,51.0,8386
8386,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 01:04:00+00,Beverly Farms,15,0.0,13.0,38.0,8387
8387,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 01:09:00+00,Manchester,16,0.0,7.0,31.0,8388
8388,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 01:15:00+00,West Gloucester,17,0.0,10.0,21.0,8389
8389,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,123,0,day_type_01,weekday,2018/01/02 01:22:00+00,Gloucester,18,0.0,17.0,4.0,8390
8392,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 01:57:00+00,Chelsea,2,5.0,1.0,186.0,8393
8393,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:05:00+00,Lynn,4,6.0,23.0,169.0,8394
8394,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:10:00+00,Swampscott,5,0.0,22.0,147.0,8395
8395,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:17:00+00,Salem,6,5.0,66.0,86.0,8396
8396,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:21:00+00,Beverly,7,6.0,48.0,44.0,8397
8397,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:25:00+00,Montserrat,13,1.0,8.0,37.0,8398
8398,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:31:00+00,Beverly Farms,15,0.0,4.0,33.0,8399
8399,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:36:00+00,Manchester,16,1.0,6.0,28.0,8400
8400,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:12:00+00,Swampscott,5,4.0,28.0,236.0,8401
8401,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:19:00+00,Salem,6,2.0,96.0,142.0,8402
8402,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:24:00+00,Beverly,7,1.0,55.0,88.0,8403
8403,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:30:00+00,North Beverly,8,2.0,12.0,78.0,8404
8404,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:34:00+00,Hamilton/ Wenham,9,0.0,22.0,56.0,8405
8405,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:40:00+00,Ipswich,10,0.0,22.0,34.0,8406
8406,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,175,0,day_type_01,weekday,2018/01/02 00:46:00+00,Rowley,11,0.0,6.0,28.0,8407
8408,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 00:47:00+00,Chelsea,2,0.0,3.0,164.0,8409
8409,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 00:55:00+00,Lynn,4,2.0,6.0,160.0,8410
8410,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:00:00+00,Swampscott,5,0.0,27.0,133.0,8411
8411,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:07:00+00,Salem,6,0.0,47.0,86.0,8412
8412,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:11:00+00,Beverly,7,0.0,40.0,46.0,8413
8413,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:16:00+00,North Beverly,8,0.0,11.0,35.0,8414
8414,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:21:00+00,Hamilton/ Wenham,9,0.0,10.0,25.0,8415
8415,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:27:00+00,Ipswich,10,0.0,11.0,14.0,8416
8416,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,177,0,day_type_01,weekday,2018/01/02 01:32:00+00,Rowley,11,0.0,0.0,14.0,8417
8419,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:22:00+00,Chelsea,2,3.0,1.0,82.0,8420
8420,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:30:00+00,Lynn,4,2.0,5.0,79.0,8421
